Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,84,169,26-05-2023,8,188.56
2,137,301,23-01-2023,10,216.6
3,216,261,27-05-2024,6,85.5
4,433,343,25-11-2023,7,301.21
5,14,431,26-07-2023,7,136.36
6,439,119,11-10-2024,5,249.4
7,195,467,23-10-2023,6,82.92
8,32,159,07-05-2024,4,144.84
9,109,407,04-01-2024,9,379.71
10,94,122,09-07-2024,4,123
11,131,206,16-10-2023,1,38.01
12,454,3,17-06-2024,2,31.5
13,420,180,08-06-2023,5,125.45
14,454,319,24-08-2023,2,85.22
15,127,479,10-01-2023,6,229.62
16,412,196,06-10-2023,8,53.52
17,462,481,20-03-2023,5,52.75
18,377,101,07-08-2024,4,193.96
19,496,60,17-11-2023,9,316.26
20,195,67,14-07-2023,1,10.23
21,356,287,05-12-2024,3,120.57
22,177,427,10-06-2024,3,54
23,119,301,04-08-2023,3,64.98
24,266,192,10-07-2023,3,145.11
25,265,250,25-05-2023,10,126.5
26,294,407,11-06-2023,1,42.19
27,310,156,03-12-2024,1,31.68
28,151,423,27-11-2024,8,205.04
29,305,446,05-10-2023,8,275.92
30,438,248,23-09-2023,6,281.94
31,386,279,12-03-2024,8,244
32,292,313,06-12-2024,4,188.64
33,478,253,15-04-2024,5,58.3
34,463,146,27-06-2024,3,43.5
35,303,172,08-07-2023,5,184.1
36,417,260,21-01-2024,9,446.31
37,110,411,27-12-2023,4,60.12
38,15,466,26-06-2023,4,148.68
39,488,422,03-08-2024,8,367.28
40,120,450,03-07-2024,2,91.5
41,418,147,05-05-2024,8,361.6
42,415,70,19-09-2023,3,70.35
43,199,305,25-03-2024,7,221.62
44,234,460,24-07-2024,5,179.4
45,470,67,16-11-2024,4,40.92
46,319,442,08-12-2023,1,48.48
47,6,360,23-07-2024,3,148.02
48,458,477,25-02-2024,5,138.55
49,322,336,14-08-2024,7,168.56
50,474,88,06-04-2024,1,40.22
51,155,491,01-09-2024,5,74.35
52,173,161,20-05-2024,7,151.2
53,160,242,02-01-2024,3,101.37
54,446,393,01-09-2024,3,132
55,18,281,11-01-2024,7,114.38
56,76,333,06-11-2024,5,138.8
57,24,34,02-12-2024,2,32.98
58,329,369,02-12-2024,7,158.55
59,225,188,11-02-2023,7,140.98
60,404,49,26-04-2023,9,445.5
61,405,361,02-07-2024,5,198.75
62,364,324,06-04-2024,5,230.4
63,16,469,13-04-2024,9,209.25
64,348,160,19-07-2024,10,344.8
65,54,198,06-05-2023,9,201.42
66,180,323,08-09-2023,8,286.64
67,260,129,20-04-2023,9,366.66
68,246,319,21-03-2023,10,426.1
69,261,109,23-03-2024,4,34.16
70,49,447,29-05-2023,6,217.5
71,500,438,11-06-2024,8,267.12
72,290,5,19-10-2024,1,10.95
73,411,81,07-10-2023,1,44.19
74,461,132,08-04-2023,10,204.6
75,291,375,30-11-2023,5,170.75
76,470,466,02-09-2024,10,371.7
77,497,242,20-03-2024,7,236.53
78,44,196,23-07-2024,5,33.45
79,134,28,06-10-2023,2,75.02
80,265,17,04-06-2023,8,42.96
81,383,325,13-02-2024,5,202
82,413,387,08-03-2023,5,237.1
83,457,335,16-01-2024,8,378.32
84,280,49,05-07-2024,6,297
85,75,31,14-03-2023,9,191.07
86,361,441,28-04-2024,3,122.16
87,167,435,11-07-2024,2,55.52
88,126,262,16-04-2023,5,105.1
89,305,113,06-08-2024,2,12.76
90,457,137,23-12-2023,6,157.98
91,226,142,13-10-2024,10,489.6
92,329,325,24-02-2023,5,202
93,366,427,23-10-2024,3,54
94,136,88,06-07-2024,6,241.32
95,447,426,26-10-2023,1,32.82
96,456,336,09-08-2023,8,192.64
97,408,221,15-07-2023,10,248.1
98,429,352,15-12-2023,1,6.01
99,166,250,20-04-2023,3,37.95
100,207,63,14-07-2023,1,22.38
101,154,344,09-01-2023,1,39.63
102,295,300,10-05-2023,9,241.83
103,103,21,07-02-2024,3,141.39
104,182,316,18-01-2024,9,79.29
105,125,306,20-12-2022,2,87.84
106,334,449,07-10-2023,3,120.51
107,10,330,20-10-2024,6,192.12
108,281,430,25-05-2024,6,71.4
109,486,368,19-11-2024,2,89.2
110,7,16,30-04-2023,1,10.07
111,174,450,25-08-2024,7,320.25
112,309,403,28-12-2022,2,30.02
113,80,255,18-02-2024,3,73.53
114,362,210,24-02-2024,3,122.79
115,321,136,23-09-2024,8,79.12
116,280,447,27-02-2024,5,181.25
117,385,52,24-01-2023,7,115.71
118,37,189,14-01-2023,3,40.95
119,328,148,24-09-2023,3,36.75
120,101,338,14-01-2023,1,10.17
121,27,63,28-03-2024,6,134.28
122,136,56,19-02-2023,6,47.22
123,495,437,10-03-2024,5,221.45
124,272,122,17-05-2024,10,307.5
125,196,43,05-06-2024,4,189.56
126,88,492,08-12-2023,2,88.14
127,267,295,24-08-2024,7,200.62
128,197,345,17-09-2024,6,155.34
129,364,388,02-08-2023,1,26.62
130,420,17,13-05-2023,1,5.37
131,16,1,27-05-2024,3,64.02
132,469,333,22-11-2023,7,194.32
133,232,458,13-03-2023,4,149.12
134,94,222,02-04-2023,7,207.13
135,174,99,24-01-2024,10,469.3
136,165,70,31-12-2023,4,93.8
137,474,471,25-11-2023,8,363.04
138,59,362,02-12-2023,3,88.29
139,189,26,31-05-2024,9,189.45
140,295,164,13-12-2022,1,41.83
141,107,352,05-05-2023,10,60.1
142,107,434,08-04-2024,2,91.16
143,443,201,04-10-2023,7,260.75
144,432,179,10-11-2024,2,96.42
